site.number,habitat.type,burrow.number,burrow.depth
1,pool,28,27
1,pool,25,26
1,pool,41,47
1,run,19,18
1,run,16,10
1,run,13,23
1,riffle,3,12
1,riffle,12,9
1,riffle,0,7
2,pool,19,10
2,pool,5,8
2,pool,9,12
2,run,2,6.5
2,run,9,8
2,run,9,9
2,riffle,12,27
2,riffle,9,22
2,riffle,9,34
3,pool,9,21
3,pool,5,17
3,pool,9,28
3,run,0,6.5
3,run,0,6
3,run,1,5
3,riffle,2,12
3,riffle,8,6
3,riffle,5,6
4,pool,8,45
4,pool,6,42
4,pool,4,55
4,run,6,9
4,run,1,6
4,run,2,10
4,riffle,4,45
4,riffle,8,20
4,riffle,3,17
5,pool,11,22
5,pool,8,40
5,pool,4,65
5,run,1,14
5,run,4,9
5,run,8,15
5,riffle,3,3
5,riffle,4,4
5,riffle,0,0
6,pool,4,8
6,pool,5,20
6,pool,13,45
6,run,1,8
6,run,5,5
6,run,3,7
6,riffle,3,10
6,riffle,8,9
6,riffle,4,8
7,pool,15,80
7,pool,18,90
7,pool,14,65
7,run,4,5
7,run,2,3
7,run,2,9
7,riffle,2,8
7,riffle,11,7
7,riffle,6,9
8,pool,11,27
8,pool,14,47
8,pool,8,20
8,run,0,5
8,run,2,10
8,run,0,4
8,riffle,4,7
8,riffle,4,10
8,riffle,4,8
9,pool,6,45
9,pool,5,47
9,pool,7,55
9,run,1,5
9,run,2,4
9,run,0,6
9,riffle,7,18
9,riffle,2,19
9,riffle,0,8
10,pool,12,52
10,pool,12,30
10,pool,13,48
10,run,0,6
10,run,2,8
10,run,0,5
10,riffle,7,20
10,riffle,0,22
10,riffle,4,15
11,pool,7,25
11,pool,10,45
11,pool,11,62
11,run,1,5
11,run,3,6
11,run,0,5
11,riffle,2,10
11,riffle,5,10
11,riffle,1,9
12,pool,12,75
12,pool,13,45
12,pool,7,62
12,run,13,4
12,run,19,3
12,run,7,8
12,riffle,0,5
12,riffle,5,15
12,riffle,2,15
13,pool,9,5
13,pool,8,4
13,pool,5,9
13,run,18,15
13,run,23,7
13,run,12,6
13,riffle,15,15
13,riffle,24,20
13,riffle,18,20
14,pool,18,15
14,pool,24,20
14,pool,15,10
14,run,3,5
14,run,2,5
14,run,3,3
14,riffle,15,10
14,riffle,3,5
14,riffle,7,7
15,pool,10,20
15,pool,17,20
15,pool,7,20
15,run,1,4
15,run,3,4
15,run,12,3
15,riffle,12,7
15,riffle,8,5
15,riffle,10,4
16,pool,11,25
16,pool,12,30
16,pool,8,60
16,run,5,2
16,run,2,5
16,run,3,5
16,riffle,5,10
16,riffle,8,5
16,riffle,4,6
17,pool,21,25
17,pool,17,25
17,pool,25,30
17,run,7,3
17,run,4,5
17,run,3,5
17,riffle,2,2
17,riffle,7,15
17,riffle,4,5
18,pool,18,10
18,pool,27,8
18,pool,9,15
18,run,4,7
18,run,5,7
18,run,3,8
18,riffle,5,4
18,riffle,5,4
18,riffle,2,5
19,pool,10,40
19,pool,19,12
19,pool,8,8
19,run,5,5
19,run,4,5
19,run,6,5
19,riffle,11,2
19,riffle,7,3
19,riffle,9,2
20,pool,8,20
20,pool,18,30
20,pool,21,5
20,run,10,2
20,run,5,3
20,run,4,3
20,riffle,23,3
20,riffle,11,5
20,riffle,8,4
21,pool,9,12
21,pool,12,21
21,pool,15,30
21,run,8,3
21,run,6,12
21,run,7,7
21,riffle,6,15
21,riffle,6,25
21,riffle,7,8
22,pool,12,20
22,pool,17,20
22,pool,9,10
22,run,4,3
22,run,3,5
22,run,6,5
22,riffle,3,5
22,riffle,2,5
22,riffle,3,5
23,pool,18,12
23,pool,15,15
23,pool,11,30
23,run,3,5
23,run,9,5
23,run,8,3
23,riffle,6,20
23,riffle,6,10
23,riffle,7,12
24,pool,0,60
24,pool,0,40
24,pool,6,25
24,run,4,4
24,run,6,4
24,run,10,7
24,riffle,10,10
24,riffle,5,4
24,riffle,5,12
25,pool,37,20
25,pool,28,30
25,pool,18,20
25,run,2,5
25,run,14,6
25,run,8,5
25,riffle,6,3
25,riffle,11,3
25,riffle,5,3
26,pool,8,5
26,pool,7,10
26,pool,14,3
26,run,3,2
26,run,7,7
26,run,8,5
26,riffle,7,12
26,riffle,8,5
26,riffle,14,25
27,pool,5,20
27,pool,20,30
27,pool,15,30
27,run,4,5
27,run,4,5
27,run,12,10
27,riffle,14,20
27,riffle,13,10
27,riffle,11,15
28,pool,12,50
28,pool,8,47
28,pool,15,95
28,run,14,3
28,run,6,6
28,run,10,6
28,riffle,7,6
28,riffle,6,5
28,riffle,5,12
29,pool,13,5
29,pool,7,6
29,pool,34,10
29,run,3,6
29,run,7,3
29,run,5,5
29,riffle,10,4
29,riffle,2,6
29,riffle,8,12
30,pool,20,8
30,pool,12,5
30,pool,23,12
30,run,4,7
30,run,12,6
30,run,3,8
30,riffle,5,6
30,riffle,6,5
30,riffle,7,7
31,pool,13,40
31,pool,13,35
31,pool,7,32
31,run,7,5
31,run,4,7
31,run,2,8
31,riffle,12,25
31,riffle,11,10
31,riffle,2,5
32,pool,6,55
32,pool,16,15
32,pool,12,4
32,run,10,3
32,run,6,2
32,run,18,4
32,riffle,12,6
32,riffle,8,6
32,riffle,8,3
33,pool,9,6
33,pool,8,22
33,pool,2,11
33,run,9,5
33,run,3,2
33,run,9,2
33,riffle,13,4
33,riffle,3,7
33,riffle,3,9
